nom|tipus|numero_inscripcio|data_inscripcio|adreca|poblacio|codiPostal|comarca|classificacioGeneral|classificacioEspecifica
Fundació Salud y Persona|Fundació|2966|2016/05/18|Passeig de Gràcia , 103, 7è|Barcelona|08008|Barcelonès|Assistencial|Assistencial
Fundació Salut Empordà|Fundació|97|1984/10/23|Ronda del Rector Aroles , s/n|Figueres|17600|Alt Empordà|Assistencial|Assistencial ; Hospitalàries
Fundació Salut i Envelliment UAB|Fundació|1905|2003/11/24|Carrer Sant Antoni Maria Claret , 171|Barcelona|08041|Barcelonès|Assistencial i Fins Científics|Fins científics ; Assistencial
Fundació Salut i Societat Sense Fronteres, Fundació Privada|Fundació|1225|1998/10/23|Carrer València , 286, entl.|Barcelona|08008|Barcelonès|Assistencial|Cooperació al desenvolupament ; Assistencial
Fundació Sanitària Sant Josep|Fundació|1161|1998/03/31|Carrer Carmen Verdaguer , 54|Igualada|08700|Anoia|Assistencial|Discapacitats ; Assistencial
Fundació Sanitària d'Igualada Fundació Privada|Fundació|814|1994/07/19|Passeig Verdaguer , 128|Igualada|08700|Anoia|Assistencial i Fins Científics|Assistencial ; Fins científics ; Hospitalàries
Fundació Sanitària de Mollet|Fundació|1027|1996/12/27|Carrer Sant Llorenç , 39-41|Mollet del Vallès|08100|Vallès Oriental|Assistencial|Assistencial ; Hospitalàries
Fundació Sant Gregori|Fundació|41|1984/05/10|Carrer Carles Riba , 11-15|Barcelona|08035|Barcelonès|Docent|Gestió centres d'ensenyament ; Docent
Fundació Sant Hospital|Fundació|319|1987/09/02|Passeig de Joan Brudieu , 8|Seu d'Urgell|25700|Alt Urgell|Assistencial|Assistencial ; Hospitalàries
Fundació Sant Ignasi|Fundació|283|1987/01/20|Carrer Carrasco i Formiguera , 32|Barcelona|08017|Barcelonès|Cultural|Cultural ; Docent ; Altres activitats formatives
Fundació Sant Nicolau|Fundació|2165|2006/02/01|Carrer Jardí , 72-80|Sabadell|08202|Vallès Occidental|Cultural i Docent|
Fundació Sant Pere Claver|Fundació|307|1987/05/27|Carrer Palaudàries , 23, bxs.|Barcelona|08004|Barcelonès|Assistencial|Infància i adolescència ; Assistencial
Fundació Sant Tomàs|Fundació|3009|2017/03/06|Carrer Sot dels Pradals , 7|Vic|08500|Osona|Assistencial i Cultural|Assistencial ; Cultural
Fundació Sant Vicenç|Fundació|868|1995/02/21|Carrer Dr. Lluís Durán , 74|Mollet del Vallès|08100|Vallès Oriental|Assistencial|Altres activitats formatives ; Assistencial
Fundació Santa Anna|Fundació|368|1988/04/26|Carrer Bailen , 53-59|Barcelona|08009|Barcelonès|Docent|Gestió centres d'ensenyament ; Docent
Fundació Santa María del Pino|Fundació|2557|2009/03/17|Carrer Riera Coma Clara , 19-21|Alella|08328|Maresme|Cultural|Cultural
Fundació Santa Teresa de Jesús|Fundació|564|1991/11/11|Carrer Ganduxer , 85-105|Barcelona|08022|Barcelonès|Docent|Docent ; Altres activitats formatives
Fundació Savina|Fundació|3012|2017/03/13|Carrer de Vilamarí , 54, entl. 1a|Barcelona|08015|Barcelonès|Assistencial i Cultural|Cultural ; Assistencial
Fundació Sebastià Álvarez i Arenas|Fundació|334|1987/11/23|Avinguda de la Catedral , 5, 4t 1a|Barcelona|08002|Barcelonès|Cultural|Cultural ; Altres activitats formatives ; Docent
Fundació Sensus|Fundació|3003|2017/01/25|Passeig Pere III , 19, entl. 2a|Manresa|08241|Bages|Cultural|Cultural
Fundació Serra i Prat|Fundació|415|1989/01/31|Carrer Pérez Moya , 29|Sabadell|08204|Vallès Occidental|Docent|Docent ; Gestió centres d'ensenyament
Fundació Servei Gironí de Pedagogia Social (Fundació SER.GI)|Fundació|399|1988/10/19|Carrer Lluís Companys , 12|Girona|17003|Gironès|Cultural|Docent ; Cultural ; Altres activitats formatives
Fundació Serveis d'Inserció Sociolaboral Arapdis|Fundació|2907|2015/06/23|Plaça del Nord , 3, bxs.|Barcelona|08024|Barcelonès|Assistencial i Cultural|Cultural ; Assistencial
Fundació Serveis de Suport|Fundació|2541|2009/01/23|Carrer Àngel Guimerà , 40|Juneda|25430|Garrigues|Assistencial|Assistencial
Fundació Setba|Fundació|2628|2010/06/08|Plaça Reial , 10, 1r 2a|Barcelona|08002|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural
Fundació Sid Moskitia|Fundació|2254|2006/10/30|Avinguda Barberà , 59, 5è 1a|Sabadell|08203|Vallès Occidental|Assistencial|Assistencial
Fundació Sida i Societat|Fundació|2444|2008/05/20|Carrer Villarroel , 6, 4t 1a|Barcelona|08011|Barcelonès|Assistencial i Cultural|Cultural ; Assistencial
Fundació Sindrome de Down, de Girona i Comarques -Astrid 21-|Fundació|681|1993/06/07|Carrer Riera de Mus , 1|Girona|17003|Gironès|Assistencial|Assistencial ; Discapacitats
Fundació Sitges, Festival Internacional de Cinema de Catalunya|Fundació|2216|2006/06/30|Carrer Sant Honorat , 32-34|Sitges|08870|Garraf|Cultural|Cultural
Fundació Social Agustí Piriz González|Fundació|759|1994/02/25|Carrer Maresme , 83, bxs.|Barcelona|08019|Barcelonès|Assistencial i Docent|3a edat ; Assistencial ; Docent
Fundació Social Fooding|Fundació|3028|2017/07/10|Carrer Alí Bei , 29, entl. 2a|Barcelona|08010|Barcelonès|Cultural|Cultural
Fundació Social Sant Ignasi de Loiola (Arrels/Sant Ignasi)|Fundació|786|1994/05/13|Plaça d'Espanya , 4, bxos.|Lleida|25002|Segrià|Assistencial|Atenció mèdica no hospitalària ; Assistencial
Fundació Sociocultural Atlas|Fundació|1902|2003/11/14|Carrer de la Virtut , 22, 1r|Igualada|08700|Anoia|Cultural|Gestió centres d'ensenyament ; Infància i adolescència ; Realització actes culturals ; Cultural ; Docent ; Assistencial
Fundació Sociosanitària de Manresa, Fundació Privada|Fundació|370|1988/04/29|Plaça de l'Hospital , s/n|Manresa|08241|Bages|Assistencial|Assistencial ; 3a edat
Fundació Sociosanitària i Social Santa Tecla|Fundació|1704|2002/10/17|Rambla Vella , 14|Tarragona|43003|Tarragonès|Assistencial|Pobres i indigents ; Assistencial ; Hospitalàries
Fundació Sol Solidari|Fundació|2750|2012/12/10|Carrer Pirineus , 12|Cervià de Ter|17464|Gironès|Assistencial|Assistencial
Fundació Solidaritat UB|Fundació|1022|1996/12/02|Carrer Melcior de Palau , 140|Barcelona|08014|Barcelonès|Assistencial|Assistencial ; Cooperació al desenvolupament
Fundació Solidària Flama|Fundació|2772|2013/06/21|Carrer Font Honrada , 32-34, local 1|Barcelona|08004|Barcelonès|Cultural|Cultural
Fundació Step by Step, Fundació Privada (SbS)|Fundació|2446|2008/05/20|Carrer Berga , 22|Barcelona|08012|Barcelonès|Assistencial i Fins Científics|Assistencial ; Fins científics
Fundació Suport|Fundació|930|1995/10/12|Carrer Bonaire , 25|Mataró|08301|Maresme|Assistencial i Cultural|Cultural ; Assistencial ; 3a edat
Fundació Swab Barcelona|Fundació|2984|2016/09/22|Carrer Doctor Carulla , 23, 3r|Barcelona|08017|Barcelonès|Cultural|Cultural
Fundació TAC, Fundació per una TV de Qualitat|Fundació|1398|2000/05/09|Carrer Diputació , 411, bxs.|Barcelona|08013|Barcelonès|Cultural|Realització actes culturals ; Cultural
Fundació TMB  (Transports Metropolitans de Barcelona)|Fundació|2646|2010/11/12|Carrer 60 , 21-23|Barcelona|08040|Barcelonès|Assistencial i Cultural|Cultural ; Assistencial
Fundació TRENCADÍS. Modernisme i Cultura|Fundació|2857|2014/09/03|Carrer La Cota , 8, 6, 2n 1a|Tarragona|43007|Tarragonès|Cultural|Cultural
Fundació Talibés|Fundació|2740|2012/07/25|Carrer Veïnat de la Beguda , 25|Palol de Revardit|17843|Pla de l'Estany|Assistencial i Cultural|Cultural ; Assistencial
Fundació Taller Escola d'Arts Sumptuàries d'Educació Especial - Teas|Fundació|2604|2010/02/02|Ronda General Mitre , 202-204, bxs.|Barcelona|08006|Barcelonès|Assistencial|Assistencial
Fundació Taller Ocupacional Promoció de Minusvàlids, Fundació Privada|Fundació|111|1982/11/05|Avinguda Manel Carrasco i Formiguera , 14|Canonja, la|43110|Tarragonès|Cultural|Cultural ; Discapacitats
Fundació Tallers de la Cerdanya|Fundació|1494|2001/01/11|Barri de Sant Julià , s/n|Puigcerdà|17520|Cerdanya|Assistencial|Assistencial ; Cooperació al desenvolupament
Fundació Tarragona 2017 Smart Mediterranean City|Fundació|2794|2013/12/23|Carrer Muntanyeta de Sant Pere i Sant Pau , s/n|Tarragona|43007|Tarragonès|Cultural|Cultural
Fundació Teatre Fortuny|Fundació|954|1996/02/27|Plaça Prim , 4|Reus|43201|Baix Camp|Cultural|Cultural ; Artístiques
Fundació Teatre Lliure-Teatre Públic de Barcelona|Fundació|409|1988/12/29|Plaça Margarida Xirgu , 1|Barcelona|08004|Barcelonès|Cultural|Realització actes culturals ; Cultural
Fundació Teatre de la Llotja|Fundació|2887|2015/02/13|Avinguda Tortosa , 6|Lleida|25005|Segrià|Cultural|Cultural
Fundació Tecnocampus Mataró-Maresme|Fundació|1354|1999/12/23|Avinguda d'Ernest Lluch , 32, TCM1|Mataró|08302|Maresme|Cultural, Docent i Fins Científics|Promoció ; Fins científics ; Docent ; Cultural
Fundació Televall|Fundació|1703|2002/10/11|Plaça de l'Ajuntament , 3, bxs.|Ribes de Freser|17534|Ripollès|Cultural|Cultural ; Promoció
Fundació Teresa Moretó|Fundació|3006|2017/02/07|Carrer Verge de Guadalupe , 18|Esplugues de Llobregat|08950|Baix Llobregat|Fins Científics|
Fundació Terra Alta Segle XXI|Fundació|1566|2001/07/04|Travessera Tarragona , s/n|Batea|43786|Terra Alta|Assistencial|Famílies ; Assistencial
Fundació Terra de Pas per al Desenvolupament Local Fundació Privada Catalana|Fundació|2574|2009/06/11|Carrer Topete , 17|Vilajuïga|17493|Alt Empordà|Assistencial i Cultural|Assistencial ; Cultural
Fundació Terrassa Futbol Club 1906|Fundació|2995|2016/11/03|Carrer Jocs Olímpics , s/n|Terrassa|08225|Vallès Occidental|Cultural|Cultural
Fundació Territori, Cultura i Societat|Fundació|2714|2012/01/19|Carrer Ravella , 14, bxs.|Barcelona|08021|Barcelonès|Cultural|Cultural
Fundació Teràpia a Cavall-Centre Internacional de Teràpies i Activitats Assistides amb Cavalls (FTAC-CITAAC)|Fundació|1727|2002/12/02|Carrer Montnegre , 11|Ametlla del Vallès|08480|Vallès Oriental|Assistencial|Assistencial ; Cultural ; Docent ; Discapacitats ; Altres activitats formatives ; Promoció
Fundació The Barcelona Institute of Science and Technology|Fundació|2921|2015/10/30|Carrer Comte d'Urgell , 187|Barcelona|08036|Barcelonès|Docent i Fins Científics|Fins científics ; Docent
Fundació The Wine School Foundation|Fundació|2879|2015/01/23|Carrer Amàlia Soler , 27-29|Vilafranca del Penedès|08720|Alt Penedès|Cultural|Cultural
Fundació Ticsalut|Fundació|2322|2007/06/08|Avinguda Ernest Lluch , 32, torre, TCM3, 6è, local 4|Mataró|08304|Maresme|Cultural i Docent|Docent ; Cultural
Fundació Tià Salellas|Fundació|2642|2010/09/27|Plaça Marquès de Camps , 9-10, 6è 2a|Girona|17001|Gironès|Cultural|Cultural
Fundació Tom Sharpe|Fundació|2940|2016/01/13|Carrer Sant Martí , 18|Palafrugell|17200|Baix Empordà|Cultural|Cultural
Fundació Tomando Conciencia per a la Solidaritat|Fundació|2831|2014/05/30|Carrer Pamplona , 96, local 19|Barcelona|08018|Barcelonès|Assistencial i Cultural|Cultural ; Assistencial
Fundació Torremirona Esport i Salut|Fundació|2882|2015/02/04|Carrer Josep Maria de Ventòs , s/n|Navata|17744|Alt Empordà|Cultural|Cultural
Fundació Tresc|Fundació|2696|2011/10/13|Carrer Universitat de Montpeller , 12, local|Girona|17003|Gironès|Assistencial i Cultural|Assistencial ; Cultural
Fundació Tutelar Assessorament i Protecció de Persones amb Discapacitat (FUTAPPD)|Fundació|2734|2012/07/03|Passeig Exposició , 2-8, local|Barcelona|08004|Barcelonès|Assistencial|Assistencial
Fundació Tutelar FADESIA, (suport per a l'Alzheimer)|Fundació|3039|2017/11/21|Carrer Rutlla , 20-22|Girona|17002|Gironès|Assistencial i Cultural|Cultural ; Assistencial
Fundació Tutelar Som Capaços|Fundació|3048|2018/01/19|Carrer Lluís Companys , 44|Martorell|08760|Baix Llobregat|Assistencial|Assistencial
Fundació Tutelar Taller Sant Jordi|Fundació|2939|2015/12/23|Plaça de les Caramelles , 1, local2|Barcelona|08001|Barcelonès|Assistencial|Assistencial
Fundació Tutelar de l'Empordà|Fundació|1700|2002/10/11|Carrer Nou , 48|Figueres|17600|Alt Empordà|Assistencial|Tutelar discapacitats ; Assistencial
Fundació Tutelar del Maresme|Fundació|3004|2017/01/26|Plaça dels Bous , 3-5|Mataró|08301|Maresme|Assistencial|Assistencial
Fundació Tutelar l'Esguard|Fundació|2570|2009/05/15|Carrer Sant Pere , 4|Vic|08500|Osona|Assistencial|Assistencial
Fundació UBAE|Fundació|1228|1998/11/18|Carrer Perill , 16|Barcelona|08012|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural
Fundació Unaveu|Fundació|2712|2011/12/27|Carrer Pau Claris , 77, 1r 1a|Barcelona|08010|Barcelonès|Cultural|Cultural
Fundació Universitat Autònoma de Barcelona|Fundació|1192|1998/06/30|Campus Universitat Autònoma de Barcelona|Cerdanyola del Vallès|08193|Vallès Occidental|Docent|Docent ; Gestió centres d'ensenyament
Fundació Universitat Pompeu Fabra|Fundació|2358|2007/10/02|Plaça de la Mercè , 10-12|Barcelona|08002|Barcelonès|Cultural i Docent|Docent ; Cultural
Fundació Universitat de Girona: Innovació i Formació|Fundació|630|1992/09/14|Carrer Pic de Peguera , 11|Girona|17001|Gironès|Cultural|Docent ; Gestió centres d'ensenyament ; Cultural
Fundació Universitat de Lleida|Fundació|1021|1996/11/26|Plaça Jaume II , 67, bis|Lleida|25001|Segrià|Cultural|Fins científics ; Cultural
Fundació Universitària Agustí Pedro i Pons|Fundació|193|1985/09/16|Avinguda Vallvidrera , 25|Barcelona|08017|Barcelonès|Cultural|Docent ; Altres activitats formatives ; Cultural
Fundació Universitària Balmes|Fundació|150|1985/04/18|Carrer Perot Rocaguinarda , 17|Vic|08500|Osona|Docent|Docent ; Gestió centres d'ensenyament
Fundació Universitària Cultura i Societat|Fundació|608|1992/05/29|Carrer Muntaner , 563 , bxs.|Barcelona|08022|Barcelonès|Cultural|Docent ; Cultural ; Altres activitats formatives
Fundació Universitària Sant Joan|Fundació|985|1996/05/29|Carrer Josep Sardá i Caila , s/n|Reus|43201|Baix Camp|Cultural i Docent|Docent ; Altres activitats formatives ; Cultural
Fundació Universitària del Bages|Fundació|286|1987/01/30|Avinguda Universitària  , 4-6|Manresa|08240|Bages|Cultural i Docent|Docent ; Cultural ; Gestió centres d'ensenyament
Fundació Universitària del Berguedà|Fundació|1031|1997/01/03|Carrer Barcelona , 49|Berga|08600|Berguedà|Docent|Docent
Fundació Unió Esportiva Olot|Fundació|2833|2014/06/05|Avinguda dels Països Catalans , s/n|Olot|17800|Garrotxa|Cultural|Cultural
Fundació Unió Esportiva Santboiana|Fundació|2898|2015/04/02|Carrer Baldiri Aleu , 1-7|Sant Boi de Llobregat|08830|Baix Llobregat|Cultural|Cultural
Fundació Unió Esportiva Vic|Fundació|2942|2016/01/15|Avinguda Olímpia , s/n|Vic|08500|Osona|Cultural|Cultural
Fundació Unió de Cooperadors de Mataró pel Foment de l'Economia Social i la Rehabilitació Urbana|Fundació|2605|2010/01/21|Carrer Herrera , 70|Mataró|08301|Maresme|Cultural|Cultural
Fundació Uriach-1838, Fundació Privada|Fundació|341|1987/12/16|Avinguda Camí Reial , 51-57|Palau-solità i Plegamans|08184|Vallès Occidental|Cultural i Fins Científics|Fins científics ; Cultural
Fundació Utopia-Joan N. García-Nieto, Estudis Socials del Baix Llobregat|Fundació|521|1991/04/29|Carrer Menéndez y Pelayo , s/n|Cornellà de Llobregat|08940|Baix Llobregat|Cultural|Promoció ; Cultural
Fundació Vall-llobera de l'Esparra|Fundació|780|1994/05/11|Plaça de la Vila , 8|Riudarenes|17421|Selva|Assistencial|Assistencial ; Famílies
Fundació Valldaura|Fundació|1112|1997/10/21|Avinguda Dolors Masferrer , 26-28, 3r 3D|Barcelona|08028|Barcelonès|Assistencial|Discapacitats ; Tutelar infància ; Assistencial ; Tutelar discapacitats
Fundació Valldor 7|Fundació|2815|2014/03/04|Zona UAB Bellaterra , 1|Cerdanyola del Vallès|08193|Vallès Occidental|Cultural|Cultural
Fundació Vallformosa|Fundació|2911|2015/06/23|Carrer La Sala de Vallformosa , 45|Vilobí del Penedès|08735|Alt Penedès|Assistencial|Assistencial
Fundació Valvi, Fundació Privada per l'Esport, la Cultura i l'Ecologia|Fundació|1285|1999/05/03|Carrer Joeria Petita , 1|Girona|17007|Gironès|Cultural|Esportives ; Cultural
Fundació Vedruna Catalunya Educació|Fundació|3011|2017/03/10|Carrer Bisbe Torras i Bages , 7-9|Vic|08500|Osona|Cultural i Docent|Docent ; Cultural
Fundació Vergés Ginjaume|Fundació|2837|2014/06/05|Carrer Nou , 128, 3r B|Figueres|17600|Alt Empordà|Assistencial i Cultural|Cultural ; Assistencial
Fundació Via Activa|Fundació|2954|2016/03/03|Carrer Natzaret , 119-129|Barcelona|08035|Barcelonès|Cultural|Cultural
Fundació Vic Museu's|Fundació|1518|2001/03/19|Plaça Andreu Colomer Munmany , 1|Vic|08500|Osona|Cultural|Cultural ; Promoció
Fundació Victoria de los Angeles|Fundació|2294|2007/01/29|Plaça Victòria dels Àngels , 2|Sant Cugat del Vallès|08172|Vallès Occidental|Cultural|Cultural
Fundació Vidabona|Fundació|3008|2017/02/22|Carrer Ribamala, km. 7 , s/n|Ogassa|17861|Ripollès|Cultural i Docent|Docent ; Cultural
Fundació Vidal, Fundació Privada|Fundació|937|1995/11/27|Plaça Puríssima , s/n|Puig-reig|08692|Berguedà|Docent|Docent
Fundació Vilademany|Fundació|991|1996/06/19|Carrer Balmes , 19|Taradell|08552|Osona|Assistencial|3a edat ; Assistencial
Fundació Vilaniu per a l'Atenció a la Dependència|Fundació|2412|2008/03/10|Plaça Sant Francesc , 1|Valls|43800|Alt Camp|Assistencial|Assistencial
Fundació Villablanca, Fundació Privada|Fundació|2200|2006/05/11|Carretera de Bellissens , s/n|Reus|43204|Baix Camp|Assistencial|Assistencial
Fundació Vivarium- Raimon Pannikar, Fundació Privada|Fundació|480|1990/03/23|Can Feló|Tavertet|08511|Osona|Cultural|Cultural ; Promoció
Fundació Vol|Fundació|2575|2009/06/17|Carrer Numància , 103-105, bxs.|Barcelona|08029|Barcelonès|Assistencial|Assistencial
Fundació Wae|Fundació|1548|2001/05/21|Camí Ral , 105|Begues|08859|Baix Llobregat|Cultural|Cultural ; Realització actes culturals
Fundació World Biomimetics Foundation|Fundació|3029|2017/07/11|Passatge Can Trona , 8, 1r|Vall d'en Bas|17176|Garrotxa|Fins Científics|Fins científics
Fundació Xavier Paules (Fundació Memorial Xavier Paules de Càritas Interparroquial)|Fundació|1095|1997/09/09|Plaça Màrtirs , 7|Cervera|25200|Segarra|Assistencial|Discapacitats ; Pobres i indigents ; Assistencial
Fundació Yamuna pel Desenvolupament de Poblacions Marginals|Fundació|2260|2006/11/17|Carrer París , 97, local 2|Barcelona|08029|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural
Fundació d'Ancians de Sant Feliu de Torelló|Fundació|538|1991/06/21|Pujada de Rocaprevera , s/n|Torelló|08570|Osona|Assistencial|Residències ; Assistencial
Fundació d'Art Palau Ferré, Fundació Privada|Fundació|1572|2001/08/13|Carrer River , 17|Montblanc|43400|Conca de Barberà|Cultural|Cultural ; Preservació del patrimoni cultural
Fundació d'Atenció als Discapacitats Els Avets de Moià (FADEAM)|Fundació|2796|2013/12/30|Carrer Calders , 2|Moià|08180|Moianès|Assistencial i Cultural|Cultural ; Assistencial
Fundació d'Ecologia del Foc i Gestió d'Incendis Pau Costa Alcubierre|Fundació|2668|2011/03/16|Carrer Castell , 11, bxs.|Tivissa|43746|Ribera d'Ebre|Cultural i Docent|Cultural ; Docent
Fundació d'Economia Analítica|Fundació|500|1990/10/22|Campus de la Universitat Autònoma de Barcelona , s/n|Cerdanyola del Vallès|08193|Vallès Occidental|Cultural|Cultural ; Docent ; Gestió centres d'ensenyament
Fundació d'Estudis Socials i Nacionals Josep Recasens i Mercadé|Fundació|1380|2000/02/28|Plaça del Castell , 1, pral.|Reus|43201|Baix Camp|Cultural|Cultural ; Sindicals i polítiques
Fundació d'Estudis Superiors d'Olot|Fundació|1478|2000/12/04|Carrer Joan Pere Fontanella , 3|Olot|17800|Garrotxa|Docent|Docent ; Altres activitats formatives
Fundació d'Estudis Superiors en Ciències de la Salut|Fundació|2945|2016/01/19|Carrer Perot Rocaguinarda , 17|Vic|08500|Osona|Cultural i Docent|Cultural ; Docent
Fundació d'Estudis i Recerca Oncològica|Fundació|1605|2001/12/12|Carrer Sardenya , 229-237, s/àt 3a|Barcelona|08013|Barcelonès|Fins Científics|Fins científics
Fundació de Biofísica Aplicada|Fundació|590|1992/03/03|Plaça de l'Ajuntament , 2, 4t A|Mollerussa|25230|Pla d'Urgell|Fins Científics|Fins científics
Fundació de Cultura i Promoció Social|Fundació|602|1992/04/16|Carrer Germans de Sant Gabriel , 2|Sant Sadurní d'Anoia|08770|Alt Penedès|Docent|Docent ; Gestió centres d'ensenyament
Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau|Fundació|632|1992/10/15|Carrer Sant Antoni Maria Claret , 167|Barcelona|08025|Barcelonès|Assistencial|Hospitalàries ; Assistencial
Fundació de Neurorehabilitació i Recerca Cognitiva|Fundació|2977|2016/07/26|Ronda General Mitre , 126, 2n 1a|Barcelona|08021|Barcelonès|Assistencial i Fins Científics|Fins científics ; Assistencial
Fundació de Recerca de l'Institut de Microcirurgia Ocular|Fundació|2627|2010/06/08|Carrer Josep Maria Lladó , 3|Barcelona|08036|Barcelonès|Docent i Fins Científics|Docent ; Assistencial
Fundació de Recerca en Gastroenterologia|Fundació|691|1993/06/29|Carrer Rosselló , 231, 4t 2a|Barcelona|08008|Barcelonès|Fins Científics|Fins científics
Fundació de Serveis a la Gent Gran de Maials|Fundació|2607|2010/02/12|Carrer Barceloneta , 95|Maials|25179|Segrià|Assistencial|Assistencial
Fundació de Siurana Roig - Bonet|Fundació|2994|2016/11/03|Carrer Major , 6|Siurana|43362|Priorat|Cultural|Cultural
Fundació de l'Agrupació AMCI|Fundació|734|1993/10/14|Carrer Gran Via de les Corts Catalanes , 652|Barcelona|08010|Barcelonès|Cultural|Promoció ; Cultural
Fundació de l'Associació de Mares i Pares d'Alumnes del Col·legi Lestonnac, Fundació Privada|Fundació|1081|1997/07/08|Carrer Pau Claris , 131|Barcelona|08009|Barcelonès|Docent|Docent ; Gestió centres d'ensenyament
Fundació de l'Esperança|Fundació|2774|2013/07/16|Carrer Palma de Sant Just , 4|Barcelona|08002|Barcelonès|Assistencial|Assistencial
Fundació de la Jardineria i el Paisatge|Fundació|1680|2002/08/20|Carrer dels Enamorats , 64, bxs.|Barcelona|08013|Barcelonès|Docent|Docent
Fundació de la Unió de Federacions Esportives de Catalunya|Fundació|3005|2017/02/06|Rambla de Catalunya , 81, pral.|Barcelona|08008|Barcelonès|Cultural|Cultural
Fundació de suport al Museu Marítim i Drassanes Reials de Barcelona|Fundació|2243|2006/09/14|Avinguda Drassanes  , s/n|Barcelona|08001|Barcelonès|Cultural|Cultural
Fundació del Centre d'Esports Manresa, Fundació Privada|Fundació|1464|2000/11/02|Carretera de Sant Joan de Vilatorrada , s/n|Manresa|08240|Bages|Cultural|Esportives ; Cultural
Fundació del Disseny Tèxtil, Fundació Privada|Fundació|449|1989/09/08|Gran Via , 83|Sabadell|08201|Vallès Occidental|Cultural|Cultural ; Docent ; Altres activitats formatives
Fundació del Gran Teatre del Liceu|Fundació|851|1994/12/21|Carrer La Rambla  , 51-59|Barcelona|08002|Barcelonès|Cultural|Cultural ; Artístiques
Fundació del Museu d'interès nacional de l'Urbanisme i Arquitectura "Josep Mas Dordal" d'Almacelles|Fundació|2197|2006/05/09|Carrer Pitagoras , 2|Almacelles|25100|Segrià|Cultural i Docent|Docent ; Cultural
Fundació del Món Rural|Fundació|2304|2007/03/15|Carrer Camp de Mart , 35|Lleida|25004|Segrià|Cultural|Cultural
Fundació del Parc Científic i Tecnològic de Turisme i Oci de Catalunya|Fundació|1420|2000/06/20|Carrer de Joanot Martorell , 15|Vila-seca|43480|Tarragonès|Cultural|Promoció ; Cultural
Fundació el Castellot de Bolvir|Fundació|2645|2010/10/04|Camí Ral , 15|Bolvir|17539|Cerdanya|Cultural|Cultural
Fundació el Solà|Fundació|1362|2000/01/18|Carrer Solà , 23|Fatarella|43781|Terra Alta|Cultural|Cultural ; Promoció
Fundació la Fira de Lleida|Fundació|1512|2001/03/08|Parc Camps Elisis  , 1a|Lleida|25001|Segrià|Cultural|Cultural ; Promoció
Fundació pel Desenvolupament de l'Habitatge Social DEHASO|Fundació|1048|1997/04/02|Plaça Catalunya , 21, 6è, 4t|Barcelona|08002|Barcelonès|Assistencial|Assistencial
Fundació pel Foment de la Societat del Coneixement|Fundació|2125|2005/10/18|Plaça Can Suris , s/n|Cornellà de Llobregat|08940|Baix Llobregat|Cultural|Cultural ; Promoció
Fundació pel Suport Social Solidari|Fundació|1997|2004/07/02|Carrer Ramon Soler , 2, entl. B|Vic|08500|Osona|Assistencial|Infància i adolescència ; Assistencial
Fundació per a Joves La Carena de Cornellà|Fundació|2637|2010/08/03|Carretera d'Esplugues , 240-242, bxs.|Cornellà de Llobregat|08940|Baix Llobregat|Cultural|Cultural
Fundació per a l'Acció Educativa|Fundació|2487|2008/09/25|Avinguda del Dr. Josep Laporte , 2|Reus|43201|Baix Camp|Cultural i Docent|Docent ; Cultural
Fundació per a l'Art d'Educar de Rudolf Steiner|Fundació|2813|2014/02/21|Carrer Balmes , 174, 4t 1a|Barcelona|08006|Barcelonès|Cultural i Docent|Cultural ; Docent
Fundació per a l'Atenció Social|Fundació|2515|2008/11/19|Avinguda del Dr. Josep Laporte , 2|Reus|43204|Baix Camp|Assistencial|Assistencial
Fundació per a l'Atenció a Persones Dependents|Fundació|2173|2006/02/20|Carrer Salvador Allende , 45|Cornellà de Llobregat|08940|Baix Llobregat|Assistencial|
Fundació per a l'Educació Emocional (FEM), Fundació Privada|Fundació|2331|2007/06/22|Carrer Balmes , 171, 3r 1a|Barcelona|08006|Barcelonès|Cultural i Docent|Cultural ; Docent
Fundació per a l'Escola Superior de Música de Catalunya|Fundació|1510|2001/02/27|Carrer Padilla , 155|Barcelona|08013|Barcelonès|Cultural i Docent|Cultural ; Docent ; Artístiques
Fundació per a la Docència Sant Llàtzer|Fundació|2806|2014/02/18|Plaça Doctor Robert , 6|Terrassa|08221|Vallès Occidental|Cultural, Docent i Fins Científics|Fins científics ; Docent ; Cultural
Fundació per a la Formació Integral en Indústries Càrnies i Agroalimentàries (KREAS)|Fundació|2777|2013/07/17|Carrer Joan Pere Fontanella , 3|Olot|17800|Garrotxa|Cultural i Docent|Cultural ; Docent
Fundació per a la Investigació Nutricional (FIN)|Fundació|1203|1998/07/22|Carrer Montnegre , 18-24, A, entl. 2a|Barcelona|08029|Barcelonès|Fins Científics|Fins científics
Fundació per a la Investigació i Desenvolupament Econòmic i Social|Fundació|580|1992/01/22|Avinguda Diagonal , 392, 1r 1a|Barcelona|08008|Barcelonès|Cultural|Cultural ; Promoció
Fundació per a la Investigació i Formació en Comunicació Experiencial|Fundació|2843|2014/07/01|Carrer Consell de Cent , 333, 8è|Barcelona|08007|Barcelonès|Cultural i Docent|Cultural ; Docent
